Treatment	Site Name	Subplot	Percent Cover Native	Percent Cover Non-Native	Total Percent Cover	Species Richness	Rubus Oct 2014	Fragaria Oct 2014	Stachys Oct 2014	Clinopodium Oct 2014	Symphoricarpus Oct 2014	Carex Oct 2014	Poison Oak Oct 2014	Lonicera Oct 2014	Psuedotsuga menziezii Oct 2014	Gallium 4 Lvs Oct 2014	Wood fern Dryopteris arguta Oct 2014	Quercus sp Oct 2014	Bracken Fern Oct 2014	Bay Laurel Oct 2014	Iris douglasii Oct 2014	Adenalcolen bicolor Oct 14	Long grass with oval seeds (same as parking garage) Oct 14	Ehrharta Oct 2014	smooth cots to hairy adult leaves aster Oct 2014	unknown opposite Oct 14	Unknown oppposite oval leaves Oct 14	"Alternate leaves, lobe-like venation Oct 14"	jagged edged forget-me-not Oct 14	Geranium Oct 2014	Cotoneaster Oct 2014 
Control	Bridge	1st	23	4	23	5	0	0	3	0	0	0	0	0	20	0	0	0	0	0	0		0	0	0	0	0		0	0	4
Control	Bridge	2nd	12	11	22	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0		0	10	0	0	0		0	0	1
Control	Bridge	3rd	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0
Control	Health Center	1st	50	219	269	3	47	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0
Control	Health Center	2nd 	37	144	181	3	36	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0
Control	Health Center	3rd	34	68	102	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0
Control	Parking Garage	1st	4	85	89	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	3	0	0	0
Control	Parking Garage	2nd 	1	91	92	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	91	0	0	0	0	0	0	0
Control	Parking Garage	3rd	9	73	82	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	73	0	0	0	0	0	0	0
Control	Upper Heller	1st	13	116	129	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0
Control	Upper Heller	2nd 	27	84	111	3	25	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0
Control	Upper Heller	3rd	39	75	114	4	31	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0
Control	West McHenry	1st	2	176	178	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0
Control	West McHenry	2nd 	12	205	217	3	8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	205	0	0	0	0	0	0	0
Control	West McHenry	3rd	30	44	74	3	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0
Reference	McHenry Dumpster	1st	7	0	7	3	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	McHenry Dumpster	2nd 	6	0	6	2	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	McHenry Dumpster	3rd	16	0	16	5	5	0	2	0	4	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Reference	McHenry Valley	1st	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	McHenry Valley	2nd 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	McHenry Valley	3rd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Lower Heller	1st	28	0	28	4	22	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Lower Heller	2nd 	29	0	29	4	20	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Lower Heller	3rd	64	0	64	5	42	0	13	6	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Merry-go-round	1st	13	0	13	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Merry-go-round	2nd 	22	0	22	3	10	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Merry-go-round	3rd	18	0	18	3	10	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Red Hill	1st	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Red Hill	2nd 	4	0	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Red Hill	3rd	5	0	5	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Bridge	1st	12	0	12	4	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0
Reference	Bridge	2nd	16	0	16	4	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0
Reference	Bridge	3rd	20	0	20	5	2	0	16	0	2	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0
Reference	Health Center	1st	41	0	41	1	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Health Center	2nd 	53	0	53	2	23	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Health Center	3rd	5	0	5	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Parking Garage	1st	44	1	45	7	10	5	4	18	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	0
Reference	Parking Garage	2nd 	74	0	74	5	24	0	0	24	16	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Reference	Parking Garage	3rd	49	0	49	4	6	0	0	10	29	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Upper Heller	1st	156	0	156	5	19	3	7	0	0	0	0	120	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Upper Heller	2nd 	61	0	61	3	32	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	Upper Heller	3rd	71	0	71	4	20	10	4	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	West McHenry	1st	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	West McHenry	2nd 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reference	West McHenry	3rd	6	0	6	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
